mep_id,meeting_id,topic,time,location,committee,rapporteur,lobbyist
124726,81,Current EU Affairs,06-11-2020,Online,,Member,Neste
124726,82,Current EU Affairs,06-11-2020,Online,,Member,JAMK
124726,83,EU Research and Innovation Policy,06-11-2020,Online,,Member,Regional Council of Central Finland
124726,84,Current EU Affairs,03-11-2020,"Lempäälä, Finland",,Member,Lempäälän Energia Oy
124726,85,Current EU Affairs,29-10-2020,Online,,Member,Finnish Composers’ Copyright Society Teosto
124726,86,EU Energy Policy,29-10-2020,Online,,Member,Metsäteollisyys ry
124726,87,EU Forest Policy,29-10-2020,"Jyväskylä, Finland",,Member,MTK ry
124726,88,EU Transport Policy,29-10-2020,Online,,Member,CaaS Nordic
124726,89,Current EU Affairs,28-10-2020,Online,,Member,Tekniikan Akateemiset
124726,90,Inclusion and Education,22-10-2020,Online,,Member,University of Jyv채skyl채
124726,91,Current EU Affairs,21-10-2020,"Helsinki, Finland",,Member,Osuustoimintakeskus Pellervo ry
124726,92,Current EU Affairs,21-10-2020,Helsinki,,Member,Osuustoimintakeskus Pellervo
124726,93,Forest Policy,21-10-2020,"Helsinki, Finland",,Member,Mets채teollisuus ry
124726,94,EU Security and Defence Policy,16-10-2020,Online,,Member,Wilfried Martens Centre for European Studies
124726,95,Blockchain in Europe,14-10-2020,Online,,Member,European Digital SME Alliance
124726,96,Digital Services Act,14-10-2020,Online,,Member,Musiikintuottajat (IFPI Finland)
124726,97,Current EU Affairs,08-10-2020,Online,,Member,Energiateollisuus ry
124726,98,Current EU Affaris,07-10-2020,Online,,Member,Mets채teollisuus
124726,99,Current EU Affairs,24-09-2020,Online,,Member,Permanent Representation of Estonia to the European Union
124726,100,EuroHPC,21-09-2020,Online,,Member,CSC - IT Center for Science
124726,101,Revision of the Driving Licenses Directive,08-09-2020,Online,TRAN,Member,International Road Transport Union
124726,102,Current EU affairs,04-09-2020,"Pori, Finland",,Member,Teknologiateollisuus ry
124726,102,Current EU affairs,04-09-2020,"Pori, Finland",,Member,SivistystyÃ¶nantajat ry
124726,103,Current EU affairs,31-08-2020,Online,,Member,Finance Finland
124726,104,EU forest policy,14-07-2020,Online,,Member,Finnish Forest Industries
124726,105,Current EU affairs,08-07-2020,Online,,Member,Technology Industries of Finland
124726,106,Current EU affairs and SMEs,07-07-2020,Online,,Member,Accountancy Europe
124726,107,Current EU affairs,25-06-2020,Online,,Member,The Chemical Industry Federation of Finland
124726,108,Webinar on SMEs,22-06-2020,Online,,Member,ESBA
124726,109,Roundtable discussion on artificial intelligence,08-06-2020,Online,ITRE,Shadow rapporteur - ITRE INI on Ensuring European leadership in the digital age and an EU approach to Artificial Intelligence,Business Finland
